day_type,guest_satisfaction_score,price_total,is_shared_room,is_superhost,is_multi_listing,is_business_listing,cleanliness_score,room_type,room_id,room_list_id
weekday,94.0,675.6028402034074,0,0,0,0,10.0,Entire home/apt,123,123
weekday,98.0,675.6028402034074,0,1,0,0,10.0,Entire home/apt,124,124
weekday,97.0,515.7828134886229,0,0,0,0,9.0,Entire home/apt,125,125
weekday,100.0,442.66866636983576,0,0,0,0,10.0,Entire home/apt,126,126
weekday,98.0,596.1615072762637,0,0,0,0,10.0,Entire home/apt,127,127
weekday,99.0,920.4883650083192,0,1,0,0,10.0,Entire home/apt,128,128
weekday,100.0,718.9557800014061,0,0,0,0,10.0,Entire home/apt,129,129
weekday,96.0,276.52145384669467,0,1,1,0,10.0,Private room,130,130
weekday,98.0,988.2126871792468,0,0,0,0,9.0,Entire home/apt,131,131
weekday,98.0,270.4286082534624,0,1,1,0,10.0,Private room,132,132
weekday,87.0,798.6314531436741,0,0,1,0,8.0,Entire home/apt,133,133
weekday,97.0,3637.6631593747807,0,0,0,0,10.0,Entire home/apt,134,134
weekday,92.0,479.4600801443536,0,0,0,0,9.0,Entire home/apt,135,135
weekday,99.0,934.0800974855296,0,1,1,0,10.0,Entire home/apt,136,136
weekday,94.0,639.0457666440138,0,0,1,0,10.0,Entire home/apt,137,137
weekday,99.0,1474.9373139924544,0,1,1,0,10.0,Private room,138,138
weekday,96.0,1020.082956436154,0,1,0,0,9.0,Entire home/apt,139,139
weekday,98.0,1192.088674337403,0,0,0,0,10.0,Entire home/apt,140,140
weekday,99.0,798.6314531436741,0,0,0,0,10.0,Entire home/apt,141,141
weekday,98.0,854.4044243432617,0,0,0,0,10.0,Entire home/apt,142,142
weekday,78.0,614.4400440559605,0,0,1,0,8.0,Private room,143,143
weekday,92.0,283.7860005155485,0,0,0,0,9.0,Private room,144,144
weekday,98.0,870.105218756591,0,0,0,0,10.0,Entire home/apt,145,145
weekday,90.0,180.20762543060016,0,0,1,0,9.0,Private room,146,146
weekday,97.0,242.07344222342,0,1,0,0,10.0,Private room,147,147
weekday,91.0,418.0629437817825,0,0,1,0,9.0,Private room,148,148
weekday,92.0,281.4425983643053,0,0,0,0,10.0,Private room,149,149
weekday,93.0,215.12431748412348,0,0,0,1,10.0,Private room,150,150
weekday,97.0,448.5271717479437,0,0,1,0,10.0,Private room,151,151
weekday,98.0,614.4400440559605,0,0,0,0,10.0,Entire home/apt,152,152
weekday,86.0,279.09919621306216,0,0,0,1,9.0,Private room,150,153
weekday,80.0,663.6514892320672,0,0,0,0,8.0,Entire home/apt,153,154
weekday,96.0,279.09919621306216,0,0,1,0,9.0,Private room,154,155
weekday,100.0,1044.6886790242074,0,0,0,0,10.0,Entire home/apt,155,156
weekday,93.0,299.72113514400206,0,0,1,0,9.0,Private room,156,157
weekday,89.0,405.6429123801936,0,0,1,0,10.0,Entire home/apt,157,158
weekday,99.0,2556.183066576056,0,1,1,0,10.0,Entire home/apt,158,159
weekday,97.0,985.6349448128794,0,0,0,0,10.0,Entire home/apt,159,160
weekday,93.0,1214.116654559089,0,0,0,0,9.0,Entire home/apt,160,161
weekday,96.0,305.8139807372343,0,1,0,0,10.0,Private room,161,162
weekday,92.0,937.5952007123944,0,0,0,1,9.0,Private room,162,163
weekday,87.0,292.45658847514824,0,1,0,0,9.0,Private room,163,164
weekday,99.0,552.808567478265,0,1,1,0,10.0,Entire home/apt,164,165
weekday,80.0,1228.880088111921,0,0,1,0,8.0,Entire home/apt,165,166
weekday,86.0,251.91573125864133,0,0,0,0,8.0,Private room,166,167
weekday,91.0,258.2429170669979,0,0,1,0,9.0,Private room,167,168
weekday,96.0,562.8851967286106,0,0,0,0,10.0,Private room,168,169
weekday,90.0,462.1189042251541,0,0,0,1,10.0,Entire home/apt,169,170
weekday,99.0,458.369460783165,0,1,1,0,10.0,Entire home/apt,170,171
weekday,98.0,184.4257493028379,0,1,0,0,10.0,Private room,171,172
weekday,100.0,780.5872565791016,0,0,1,0,10.0,Entire home/apt,172,173
weekday,90.0,228.71604996133388,0,0,1,0,10.0,Private room,173,174
weekday,100.0,221.45150329248003,0,1,1,0,10.0,Private room,174,175
weekday,93.0,385.9583343097509,0,0,1,0,9.0,Private room,175,176
weekday,90.0,436.3414805614792,0,0,0,0,9.0,Entire home/apt,176,177
weekday,97.0,626.3913950273006,0,1,1,0,10.0,Entire home/apt,177,178
weekday,100.0,835.8915473484406,0,0,0,0,10.0,Entire home/apt,178,179
weekday,97.0,833.3138049820731,0,0,0,0,10.0,Entire home/apt,179,180
weekday,96.0,424.1557893750147,0,0,0,0,10.0,Entire home/apt,180,181
weekday,97.0,602.254352869496,0,0,0,0,10.0,Entire home/apt,181,182
weekday,95.0,1425.7258688163477,0,0,0,0,9.0,Entire home/apt,182,183
weekday,97.0,737.2343167811028,0,0,0,0,10.0,Entire home/apt,183,184
weekday,91.0,397.2066646357181,0,0,1,0,9.0,Entire home/apt,184,185
weekday,91.0,290.1131863239051,0,0,0,0,9.0,Private room,185,186
weekday,95.0,221.2171630773557,0,1,1,0,9.0,Private room,186,187
weekday,98.0,245.82288566540907,0,1,1,0,10.0,Private room,187,188
weekday,87.0,196.6114404893024,0,0,1,0,8.0,Private room,188,189
weekday,100.0,258.0085768518736,0,1,1,0,10.0,Private room,189,190
weekday,95.0,1413.3058374147588,0,0,0,0,10.0,Private room,190,191
weekday,95.0,479.4600801443536,0,0,0,0,9.0,Entire home/apt,191,192
weekday,99.0,920.4883650083192,0,1,0,0,10.0,Entire home/apt,192,193
weekday,98.0,622.876291800436,0,1,1,0,10.0,Entire home/apt,193,194
weekday,95.0,317.0623110632016,0,0,1,0,10.0,Private room,194,195
weekday,85.0,344.2457760176224,0,0,1,0,9.0,Entire home/apt,195,196
weekday,91.0,409.39235582218265,0,0,1,0,9.0,Entire home/apt,196,197
weekday,98.0,282.6142994399269,0,0,0,0,10.0,Private room,197,198
weekday,94.0,319.6400534295691,0,0,0,1,9.0,Private room,198,199
weekday,82.0,290.1131863239051,0,0,1,0,8.0,Private room,199,200
weekday,91.0,381.0371897921403,0,0,1,0,10.0,Private room,200,201
weekday,94.0,276.52145384669467,0,1,1,0,10.0,Private room,201,202
weekday,98.0,811.0514845452628,0,0,0,0,10.0,Entire home/apt,202,203
weekday,99.0,1106.320155601903,0,1,0,0,10.0,Entire home/apt,203,204
weekday,93.0,435.1697794858576,0,0,1,0,10.0,Entire home/apt,204,205
weekday,98.0,381.0371897921403,0,1,0,0,10.0,Private room,205,206
weekday,100.0,513.673751552504,0,0,0,0,10.0,Entire home/apt,206,207
weekday,93.0,309.7977643943477,0,0,0,1,10.0,Private room,207,208
weekday,91.0,516.0171537037471,0,0,0,0,9.0,Entire home/apt,208,209
weekday,92.0,614.4400440559605,0,0,0,0,10.0,Private room,209,210
weekday,80.0,737.2343167811028,0,0,0,0,8.0,Entire home/apt,210,211
weekday,98.0,685.9138096688773,0,1,0,0,10.0,Entire home/apt,211,212
weekday,95.0,823.4715159468517,0,0,0,0,10.0,Entire home/apt,212,213
weekday,94.0,307.22002202798024,0,0,0,0,9.0,Entire home/apt,213,214
weekday,100.0,1997.281653504558,0,0,0,0,9.0,Entire home/apt,214,215
weekday,99.0,638.8114264288895,0,0,0,0,9.0,Entire home/apt,215,216
weekday,97.0,1136.5500433529398,0,1,0,0,10.0,Entire home/apt,216,217
weekday,90.0,405.6429123801936,0,0,0,0,10.0,Private room,217,218
weekday,94.0,400.4874276474586,0,0,0,1,10.0,Private room,218,219
weekday,99.0,307.22002202798024,0,0,1,0,10.0,Private room,219,220
weekday,100.0,688.0228716049962,0,0,0,0,10.0,Private room,220,221
weekday,100.0,648.8880556792352,0,0,0,0,10.0,Entire home/apt,221,222
weekday,98.0,331.8257446160336,0,0,0,0,10.0,Entire home/apt,222,223
weekday,94.0,420.4063459330256,0,1,0,0,9.0,Entire home/apt,223,224
weekday,96.0,774.2600707707451,0,0,0,0,10.0,Entire home/apt,224,225
weekday,90.0,1126.942094532843,0,0,1,0,8.0,Entire home/apt,225,226
weekday,88.0,208.7971316757669,0,0,1,0,8.0,Private room,226,227
weekday,96.0,522.3443395121037,0,0,0,0,10.0,Private room,227,228
weekday,95.0,448.5271717479437,0,1,0,0,9.0,Private room,228,229
weekday,94.0,204.1103273732805,0,0,0,0,10.0,Private room,229,230
weekday,88.0,442.66866636983576,0,0,0,0,9.0,Private room,230,231
weekday,95.0,325.498558807677,0,1,1,0,10.0,Private room,231,232
weekday,97.0,1351.9087010521878,0,0,0,0,9.0,Entire home/apt,232,233
weekday,100.0,583.9758160897992,0,0,0,0,10.0,Entire home/apt,233,234
weekday,98.0,614.4400440559605,0,0,0,0,9.0,Entire home/apt,234,235
weekday,93.0,279.09919621306216,0,0,0,0,9.0,Private room,235,236
weekday,94.0,345.1831368781197,0,0,1,0,10.0,Private room,236,237
weekday,99.0,245.82288566540907,0,0,0,0,10.0,Private room,237,238
weekday,97.0,522.3443395121037,0,0,0,0,10.0,Entire home/apt,238,239
weekday,80.0,303.4705785859912,0,0,1,0,5.0,Private room,239,240
weekday,95.0,798.8657933587983,0,0,0,1,9.0,Entire home/apt,240,241
weekday,96.0,654.9809012724675,0,0,0,0,10.0,Private room,241,242
weekday,98.0,277.45881470719195,0,1,1,0,10.0,Private room,242,243
weekday,96.0,498.910317999672,0,1,1,0,10.0,Private room,243,244
weekday,94.0,491.64577133081815,0,0,0,0,10.0,Entire home/apt,244,245
weekday,96.0,442.4343261547114,0,1,1,0,10.0,Private room,245,246
weekday,98.0,202.70428608253465,0,1,1,0,10.0,Private room,246,247
weekday,98.0,258.0085768518736,1,1,1,0,10.0,Shared room,247,248
weekday,96.0,245.82288566540907,0,1,1,0,10.0,Private room,248,249
weekday,88.0,669.7443348252995,0,0,1,0,9.0,Entire home/apt,249,250
weekday,85.0,453.4483162655544,0,0,0,1,9.0,Entire home/apt,250,251
weekday,89.0,706.5357485998172,0,0,1,0,9.0,Entire home/apt,251,252
weekday,99.0,1038.361493215851,0,0,0,0,9.0,Entire home/apt,252,253
weekday,100.0,2500.8787758067165,0,0,0,0,9.0,Entire home/apt,253,254
weekday,88.0,399.5500667869613,0,0,0,1,9.0,Private room,254,255
weekday,82.0,407.9863145314368,0,0,0,1,9.0,Private room,255,256
weekday,78.0,407.9863145314368,0,0,0,1,8.0,Private room,256,257
weekday,96.0,319.40571321444475,0,0,1,0,9.0,Private room,257,258
weekday,100.0,817.1443301384951,0,0,1,0,10.0,Entire home/apt,258,259
weekday,92.0,792.7729477655661,0,0,0,0,9.0,Entire home/apt,259,260
weekday,90.0,274.1780516954515,0,0,1,0,9.0,Private room,260,261
weekday,93.0,774.2600707707451,0,0,0,0,9.0,Entire home/apt,261,262
weekday,100.0,221.2171630773557,0,0,0,0,10.0,Private room,262,263
weekday,90.0,436.3414805614792,0,0,0,1,9.0,Private room,263,264
weekday,95.0,974.6209547020364,0,0,0,0,10.0,Entire home/apt,264,265
weekday,96.0,1044.6886790242074,0,0,0,0,9.0,Entire home/apt,265,266
weekday,96.0,607.1754973871067,0,1,1,0,10.0,Private room,266,267
weekday,91.0,314.4845686968341,0,0,1,0,9.0,Private room,267,268
weekday,86.0,390.6451386122373,0,1,1,0,9.0,Private room,266,269
weekday,98.0,449.6988728235653,0,1,0,0,10.0,Private room,268,270
weekday,87.0,181.8480069364704,0,0,1,0,10.0,Private room,269,271
weekday,100.0,2458.2288566540906,0,0,0,0,10.0,Entire home/apt,270,272
weekday,91.0,410.32971668267993,0,0,0,0,8.0,Entire home/apt,271,273
weekday,96.0,771.6823284043776,0,0,0,0,9.0,Entire home/apt,272,274
weekday,96.0,415.2508612002906,0,1,0,0,10.0,Entire home/apt,273,275
weekday,97.0,577.4142900663184,0,0,1,0,9.0,Entire home/apt,274,276
weekday,93.0,531.9522883322007,0,0,0,0,9.0,Entire home/apt,275,277
weekday,96.0,552.808567478265,0,0,0,0,9.0,Entire home/apt,276,278
weekday,100.0,1651.864176411314,0,0,0,0,10.0,Entire home/apt,277,279
weekday,98.0,282.8486396550512,0,1,0,0,10.0,Entire home/apt,278,280
weekday,100.0,347.9952194596115,0,1,0,0,10.0,Private room,279,281
weekday,95.0,485.5529257375859,0,0,0,0,9.0,Entire home/apt,280,282
weekday,98.0,436.3414805614792,0,1,0,0,10.0,Private room,281,283
weekday,93.0,221.2171630773557,0,0,1,0,10.0,Private room,282,284
weekday,98.0,460.9472031495325,0,1,0,0,10.0,Entire home/apt,283,285
weekday,99.0,552.808567478265,0,0,0,0,9.0,Entire home/apt,284,286
weekday,93.0,368.8514986056758,0,0,0,0,10.0,Entire home/apt,285,287
weekday,89.0,209.03147189089125,0,0,1,0,9.0,Private room,286,288
weekday,92.0,568.9780423218428,0,0,0,1,10.0,Private room,287,289
weekday,94.0,1044.6886790242074,0,1,0,0,9.0,Entire home/apt,288,290
weekday,85.0,489.30236917957495,0,0,1,0,8.0,Entire home/apt,289,291
weekday,91.0,239.7300400721768,0,0,0,0,9.0,Private room,290,292
weekday,89.0,734.8909146298597,0,0,0,1,9.0,Entire home/apt,291,293
weekday,96.0,274.1780516954515,0,1,0,0,10.0,Private room,292,294
weekday,95.0,399.5500667869613,0,0,0,1,10.0,Private room,293,295
weekday,86.0,337.91859020926586,0,0,0,0,10.0,Private room,294,296
weekday,100.0,474.0702551964943,0,0,0,0,10.0,Entire home/apt,295,297
weekday,96.0,534.7643709136926,0,0,0,0,10.0,Entire home/apt,296,298
weekday,92.0,436.3414805614792,0,0,0,1,9.0,Private room,297,299
weekday,97.0,1112.1786609800108,0,0,0,0,9.0,Entire home/apt,298,300
weekday,95.0,614.4400440559605,0,0,0,0,9.0,Private room,299,301
weekday,86.0,202.70428608253465,0,0,0,0,9.0,Private room,300,302
weekday,96.0,430.24863496824696,0,0,0,0,10.0,Entire home/apt,301,303
weekday,92.0,243.2451432990416,0,0,1,0,9.0,Private room,302,304
weekday,97.0,277.69315492231624,0,1,1,0,10.0,Private room,303,305
weekday,99.0,356.4314672040869,0,0,0,0,10.0,Private room,304,306
weekday,96.0,555.3863098446325,0,1,0,0,10.0,Private room,305,307
weekday,96.0,352.68202376209786,0,0,0,0,9.0,Entire home/apt,306,308
weekday,94.0,318.2340121388232,0,0,1,0,9.0,Private room,307,309
weekday,98.0,368.6171583905514,0,1,0,0,9.0,Entire home/apt,308,310
weekday,99.0,774.2600707707451,0,1,0,0,10.0,Private room,309,311
weekday,95.0,1029.925245471375,0,1,0,0,9.0,Entire home/apt,310,312
weekday,90.0,326.6702598832986,0,0,0,0,8.0,Entire home/apt,311,313
weekday,100.0,299.72113514400206,0,0,0,0,10.0,Private room,312,314
weekday,91.0,688.0228716049962,0,0,0,0,8.0,Entire home/apt,313,315
weekday,98.0,399.31572657183705,0,0,0,0,10.0,Entire home/apt,314,316
weekday,97.0,362.5243127973192,0,0,0,0,10.0,Entire home/apt,315,317
weekday,93.0,350.1042813957304,0,1,1,0,10.0,Private room,316,318
weekday,90.0,1038.361493215851,0,0,0,0,9.0,Entire home/apt,317,319
weekday,90.0,432.3576969043658,0,0,0,0,8.0,Private room,318,320
weekday,98.0,337.6842499941415,0,0,0,0,10.0,Private room,319,321
weekday,95.0,1118.2715065732432,0,0,0,0,10.0,Entire home/apt,320,322
weekday,92.0,335.57518805802266,0,0,0,0,9.0,Private room,321,323
weekday,95.0,468.2117498183864,0,0,0,0,10.0,Entire home/apt,322,324
weekday,90.0,241.83910200829567,0,0,0,0,9.0,Private room,323,325
weekday,98.0,1739.03873643756,0,1,0,0,10.0,Entire home/apt,324,326
weekday,98.0,368.6171583905514,0,0,0,0,10.0,Entire home/apt,325,327
weekday,89.0,346.5891781688656,0,0,0,0,9.0,Private room,326,328
weekday,96.0,417.8286035666581,0,0,0,0,10.0,Private room,327,329
weekday,95.0,421.34370679352287,0,0,0,1,10.0,Entire home/apt,328,330
weekday,94.0,712.8629344081738,0,0,0,0,10.0,Entire home/apt,329,331
weekday,97.0,308.39172310360186,0,1,1,0,9.0,Private room,330,332
weekday,88.0,333.23178590677946,0,0,0,0,9.0,Private room,331,333
weekday,100.0,356.1971269889626,0,0,0,0,10.0,Private room,332,334
weekday,84.0,351.51032268647623,0,0,1,0,9.0,Private room,333,335
weekday,97.0,264.33576266023016,0,0,1,0,10.0,Private room,334,336
weekday,98.0,344.2457760176224,0,1,0,0,10.0,Private room,335,337
weekday,93.0,515.7828134886229,0,0,0,0,9.0,Entire home/apt,336,338
weekday,90.0,491.64577133081815,0,0,0,0,10.0,Entire home/apt,337,339
weekday,100.0,501.2537201509151,0,0,0,0,10.0,Entire home/apt,338,340
weekday,100.0,552.808567478265,0,0,0,0,10.0,Entire home/apt,339,341
weekday,96.0,386.19267452487526,0,0,1,0,10.0,Private room,340,342
weekday,95.0,1136.5500433529398,0,1,0,0,9.0,Entire home/apt,341,343
weekday,99.0,268.0852061022192,0,1,0,0,10.0,Private room,342,344
weekday,99.0,319.40571321444475,0,1,0,0,10.0,Private room,343,345
weekday,87.0,1210.3672111171,0,0,1,0,9.0,Entire home/apt,344,346
weekday,89.0,540.6228762918005,0,0,0,0,9.0,Entire home/apt,345,347
weekday,100.0,1044.6886790242074,0,0,0,0,10.0,Entire home/apt,346,348
weekday,93.0,539.6855154313032,0,1,0,1,10.0,Entire home/apt,347,349
weekday,100.0,485.5529257375859,0,0,0,0,10.0,Entire home/apt,348,350
weekday,96.0,178.0985634944813,0,1,0,0,10.0,Private room,349,351
weekday,95.0,661.308087080824,0,0,0,1,9.0,Private room,350,352
weekday,98.0,1572.8915239144192,0,0,0,1,9.0,Private room,351,353
weekday,97.0,329.4823424647904,0,0,0,1,9.0,Private room,352,354
weekday,95.0,436.10714034635487,0,0,1,0,10.0,Entire home/apt,353,355
weekday,96.0,722.2365430131465,0,1,0,0,9.0,Entire home/apt,354,356
weekday,96.0,399.5500667869613,0,0,0,0,10.0,Entire home/apt,355,357
weekday,95.0,602.0200126543716,0,0,0,0,9.0,Entire home/apt,356,358
weekday,96.0,319.40571321444475,0,1,0,0,9.0,Private room,357,359
weekday,89.0,817.1443301384951,0,0,0,0,10.0,Entire home/apt,358,360
weekday,100.0,439.8565837883439,0,0,0,0,10.0,Entire home/apt,359,361
weekday,100.0,546.7157218850327,0,0,0,0,10.0,Entire home/apt,360,362
weekday,87.0,1161.1557659409932,0,0,1,0,9.0,Entire home/apt,361,363
weekday,92.0,393.4572211937291,0,0,0,0,10.0,Private room,362,364
